,AREA,INT_SQFT,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,SALES_PRICE
0,Karapakkam,1004,2011-04-05,131,1,1,3,AbNormal,1,1967-05-15,Commercial,AllPub,Paved,A,7600000
1,Anna Nagar,1986,2006-12-19,26,2,1,5,AbNormal,0,1995-12-22,Commercial,AllPub,Gravel,RH,21717770
2,Adyar,909,2012-04-02,70,1,1,3,AbNormal,1,1992-09-02,Commercial,ELO,Gravel,RL,13159200
3,Velachery,1855,2010-03-13,14,3,2,5,Family,0,1988-03-18,Others,NoSewr,Paved,I,9630290
4,Karapakkam,1226,2009-05-10,84,1,1,3,AbNormal,1,1979-10-13,Others,AllPub,Gravel,C,7406250
5,Chrompet,1220,2014-11-09,36,2,1,4,Partial,0,2009-12-09,Commercial,NoSeWa,NoAccess,RH,12394750
6,Chrompet,1167,2007-05-04,137,1,1,3,Partial,0,1979-12-04,Others,AllPub,NoAccess,RL,8488790
7,Velachery,1847,2006-03-13,176,3,2,5,Family,0,1996-03-15,Commercial,AllPub,Gravel,RM,16800250
8,Chrompet,771,2011-06-04,175,1,1,2,AdjLand,0,1977-04-14,Others,NoSewr,Paved,RM,8308970
9,Velachery,1635,2006-06-22,74,2,1,4,AbNormal,0,1991-06-26,Others,ELO,NoAccess,I,8083650
10,Chrompet,1203,2006-10-19,78,2,1,4,AdjLand,1,1978-10-26,Commercial,AllPub,NoAccess,RM,14938000
11,Chrompet,1054,2009-02-16,143,1,1,3,Partial,0,1972-02-26,Others,NoSewr,Gravel,RM,9449730
12,Chrompet,1196,2010-11-02,137,1,1,3,Family,0,1991-02-16,Others,NoSewr,NoAccess,RL,8774370
13,Adyar,1056,2007-01-01,83,1,1,3,Partial,1,1981-07-01,Others,NoSewr,Paved,RH,9386490
14,Velachery,1865,2010-11-11,157,3,2,5,Family,0,1956-11-24,Commercial,NoSewr,Paved,RM,15499680
15,Velachery,1868,2009-12-09,148,3,2,5,Family,0,2000-09-14,Commercial,NoSewr,Gravel,RH,15714080
16,Karapakkam,1639,2009-04-11,175,2,2,4,Normal Sale,1,1991-09-11,House,ELO,Gravel,I,8656000
17,Chrompet,796,2011-12-25,134,1,1,2,AdjLand,1,1975-03-01,Commercial,AllPub,NoAccess,RL,10912550
18,Adyar,1136,2008-05-04,69,1,1,3,Normal Sale,1,1978-04-13,Others,AllPub,Paved,A,8287550
19,Anna Nagar,1902,2012-02-07,168,2,1,5,Family,1,1970-07-13,Commercial,ELO,Paved,RL,21203240
20,Chrompet,1069,2013-04-19,53,1,1,3,AbNormal,1,2009-04-20,Others,NoSewr,Paved,RM,10905530
21,Chrompet,931,2008-12-13,96,1,1,3,AbNormal,1,1986-12-19,Others,ELO,Paved,RL,9185970
22,KK Nagar,2010,2009-06-05,114,3,2,5,Partial,0,1999-09-05,Others,NoSewr,Gravel,RH,10925400
23,Chrompet,1074,2010-07-23,100,1,1,3,AbNormal,0,1994-07-27,Others,NoSewr,Gravel,RL,9627380
24,T Nagar,1972,2013-05-13,111,2,1,5,AdjLand,0,2008-05-14,Others,NoSewr,NoAccess,RH,13922760
25,T Nagar,1685,2014-07-19,105,1,1,4,Family,0,1980-07-27,House,NoSewr,Gravel,RM,12601080
26,Adyar,1130,2011-10-11,29,1,1,3,Family,1,1981-11-17,Commercial,ELO,Paved,RH,13383350
27,Karapakkam,1301,2010-12-11,59,1,1,3,Normal Sale,1,2003-11-14,Others,NoSewr,Gravel,C,7939625
28,Adyar,730,2011-08-19,185,1,1,2,AdjLand,1,1972-08-28,House,ELO,Gravel,RL,8848285
29,T Nagar,1806,2013-08-18,138,2,1,5,Family,0,1978-08-27,House,NoSeWa,Paved,RH,11338200
30,Anna Nagar,1981,2009-01-04,173,2,1,5,AdjLand,0,2000-03-04,House,ELO,NoAccess,RL,12872430
31,Adyar,868,2011-08-15,15,1,1,3,Normal Sale,0,2001-08-17,Others,NoSeWa,Gravel,RL,9042050
32,T Nagar,1721,2012-03-26,117,1,1,4,AdjLand,1,1992-03-31,Others,ELO,Paved,RM,14874380
33,Velachery,1755,2006-04-28,16,2,1,4,AdjLand,1,1987-03-05,Others,AllPub,Gravel,A,10222380
34,Anna Nagar,1709,2009-11-22,130,1,1,4,Family,0,2003-11-24,Others,NoSeWa,Gravel,RH,12928590
35,KK Nagar,2114,2010-09-05,46,3,2,5,AdjLand,1,1989-05-14,Commercial,NoSeWa,Gravel,RH,17564820
36,Karapakkam,1226,2010-05-23,180,1,1,3,Normal Sale,0,1983-05-30,House,AllPub,Paved,A,4971250
37,Velachery,1648,2011-01-28,111,2,1,4,Family,1,1998-01-31,Others,NoSeWa,Paved,C,9170660
38,Chrompet,856,2011-07-11,36,1,1,3,AdjLand,1,1985-11-13,Others,NoSewr,Gravel,RM,10383420
39,Adyar,904,2009-01-24,52,1,1,3,AdjLand,0,1969-03-02,Commercial,ELO,NoAccess,RM,11601400
40,Chrompet,1198,2012-12-21,105,1,1,3,Normal Sale,0,1976-12-30,Others,AllPub,NoAccess,RH,8249260
41,Karapakkam,931,2011-03-10,16,1,1,3,AdjLand,0,1993-07-10,Commercial,AllPub,Paved,A,6944500
42,Karapakkam,1290,2009-08-18,86,1,1,3,AdjLand,1,1961-08-30,House,AllPub,Paved,RH,7745000
43,Karapakkam,507,2010-03-23,49,1,1,2,AbNormal,1,1964-03-04,House,ELO,Gravel,RH,5728000
44,KK Nagar,2492,2009-06-12,113,4,2,6,AbNormal,0,1993-10-12,Commercial,NoSeWa,Paved,RL,18725520
45,Karapakkam,851,2011-11-09,105,1,1,2,Partial,0,1982-09-18,House,AllPub,NoAccess,C,3572250
46,T Nagar,1882,2006-11-18,189,2,1,5,AbNormal,1,1985-11-23,Others,ELO,Gravel,RM,16051580
47,Anna Nagar,1710,2009-12-11,15,1,1,4,Normal Sale,1,1998-11-15,Commercial,AllPub,Gravel,RH,20215970
48,Karapakkam,1412,2010-06-11,28,2,2,4,AdjLand,0,1982-11-13,House,ELO,Gravel,RL,8379000
49,Adyar,779,2006-12-10,51,1,1,2,Normal Sale,0,1997-10-14,House,NoSewr,NoAccess,C,5290635
50,T Nagar,1655,2014-05-21,19,1,1,4,AbNormal,0,1980-05-29,Others,AllPub,Gravel,RH,12548930
51,Karapakkam,940,2010-03-04,167,1,1,3,AdjLand,0,1961-04-15,House,AllPub,Paved,RH,5857750
52,KK Nagar,1667,2012-02-26,126,2,1,4,Partial,1,2007-02-27,House,NoSeWa,Paved,RM,10729700
53,KK Nagar,1926,2008-12-08,49,3,2,5,Family,1,1999-08-15,Commercial,NoSeWa,Paved,RM,17006780
54,Adyar,718,2007-10-23,75,1,1,2,Partial,1,1977-10-30,Others,ELO,NoAccess,C,5570050
55,Karapakkam,545,2012-12-01,154,1,1,2,Partial,0,1982-01-19,Others,ELO,NoAccess,RH,3854375
56,Karapakkam,1249,2009-12-09,25,1,1,3,AdjLand,1,1973-09-21,Others,ELO,Gravel,RH,8594875
57,T Nagar,1894,2013-08-06,187,2,1,5,Partial,1,1968-06-19,House,NoSewr,Gravel,RL,13549250
58,Karapakkam,1469,2011-12-12,200,2,2,4,AbNormal,0,2006-12-13,Commercial,NoSewr,NoAccess,C,9480750
59,Adyar,916,2008-08-08,32,1,1,3,Normal Sale,1,1980-08-15,House,ELO,NoAccess,A,5847520
60,Chrompet,934,2008-04-20,11,1,1,3,AdjLand,1,1986-04-26,House,NoSeWa,Paved,RM,9710900
61,Karapakkam,1691,2011-02-05,100,2,2,4,AbNormal,0,1980-09-05,House,NoSeWa,Gravel,RM,9398750
62,Karapakkam,1236,2011-04-21,36,1,1,3,Normal Sale,0,1972-04-30,Commercial,NoSewr,Paved,I,8806250
63,T Nagar,1577,2007-09-28,23,1,1,4,Partial,1,1971-07-10,Others,NoSeWa,Paved,RH,12087330
64,Anna Nagar,1915,2011-10-01,13,2,1,5,Partial,1,1970-01-20,Others,NoSeWa,Gravel,RH,14175620
65,Anna Nagar,1600,2012-09-30,154,1,1,4,Family,1,1991-06-10,House,ELO,Gravel,RH,11920820
66,Velachery,1579,2011-10-14,58,2,1,4,AbNormal,1,1987-10-20,Commercial,ELO,Paved,I,13364730
67,Adyar,1260,2008-07-21,89,2,2,4,Partial,0,1983-07-28,Others,NoSeWa,NoAccess,A,6922975
68,Adyar,1021,2009-12-22,176,1,1,3,Normal Sale,0,2004-12-23,Commercial,NoSeWa,Paved,I,11673175
69,KK Nagar,2174,2011-10-31,48,3,2,5,Family,1,1988-05-11,Others,AllPub,Paved,RM,13069740
70,Anna Nagar,1589,2010-03-22,39,1,1,4,Partial,0,1966-02-04,Others,AllPub,Gravel,RL,12212350
71,Adyar,668,2010-03-21,177,1,1,2,AbNormal,1,2005-03-22,Commercial,NoSeWa,Gravel,I,10283575
72,Velachery,1724,2006-09-04,116,2,1,4,AbNormal,1,1952-04-22,House,ELO,NoAccess,RL,8956480
73,Adyar,890,2011-07-20,116,1,1,3,AbNormal,1,1981-07-27,House,NoSewr,Paved,C,7187350
