,AREA,INT_SQFT,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,UTILITY_AVAIL,STREET,MZZONE,SALES_PRICE,AGE_SOLD,YEARSOLD,Commercial,House,Others
0,0.0,1004,1,1,3,2.0,1,3.0,1.0,0.0,7600000,44,2011,1.0,0.0,0.0
1,5.0,1986,2,1,5,2.0,0,3.0,2.0,3.0,21717770,11,2006,1.0,0.0,0.0
2,1.0,909,1,1,3,2.0,1,0.0,2.0,4.0,13159200,20,2012,1.0,0.0,0.0
3,3.0,1855,3,2,5,1.0,0,2.0,1.0,2.0,9630290,22,2010,0.0,0.0,1.0
4,0.0,1226,1,1,3,2.0,1,3.0,2.0,1.0,7406250,30,2009,0.0,0.0,1.0
5,2.0,1220,2,1,4,0.0,0,1.0,0.0,3.0,12394750,5,2014,1.0,0.0,0.0
6,2.0,1167,1,1,3,0.0,0,3.0,0.0,4.0,8488790,27,2007,0.0,0.0,1.0
7,3.0,1847,3,2,5,1.0,0,3.0,2.0,5.0,16800250,10,2006,1.0,0.0,0.0
8,2.0,771,1,1,2,4.0,0,2.0,1.0,5.0,8308970,34,2011,0.0,0.0,1.0
9,3.0,1635,2,1,4,2.0,0,0.0,0.0,2.0,8083650,15,2006,0.0,0.0,1.0
10,2.0,1203,2,1,4,4.0,1,3.0,0.0,5.0,14938000,28,2006,1.0,0.0,0.0
11,2.0,1054,1,1,3,0.0,0,2.0,2.0,5.0,9449730,37,2009,0.0,0.0,1.0
12,2.0,1196,1,1,3,1.0,0,2.0,0.0,4.0,8774370,20,2010,0.0,0.0,1.0
13,1.0,1056,1,1,3,0.0,1,2.0,1.0,3.0,9386490,26,2007,0.0,0.0,1.0
14,3.0,1865,3,2,5,1.0,0,2.0,1.0,5.0,15499680,54,2010,1.0,0.0,0.0
15,3.0,1868,3,2,5,1.0,0,2.0,2.0,3.0,15714080,9,2009,1.0,0.0,0.0
16,0.0,1639,2,2,4,3.0,1,0.0,2.0,2.0,8656000,18,2009,0.0,1.0,0.0
17,2.0,796,1,1,2,4.0,1,3.0,0.0,4.0,10912550,37,2011,1.0,0.0,0.0
18,1.0,1136,1,1,3,3.0,1,3.0,1.0,0.0,8287550,30,2008,0.0,0.0,1.0
19,5.0,1902,2,1,5,1.0,1,0.0,1.0,4.0,21203240,42,2012,1.0,0.0,0.0
20,2.0,1069,1,1,3,2.0,1,2.0,1.0,5.0,10905530,4,2013,0.0,0.0,1.0
21,2.0,931,1,1,3,2.0,1,0.0,1.0,4.0,9185970,22,2008,0.0,0.0,1.0
22,4.0,2010,3,2,5,0.0,0,2.0,2.0,3.0,10925400,10,2009,0.0,0.0,1.0
23,2.0,1074,1,1,3,2.0,0,2.0,2.0,4.0,9627380,16,2010,0.0,0.0,1.0
24,6.0,1972,2,1,5,4.0,0,2.0,0.0,3.0,13922760,5,2013,0.0,0.0,1.0
25,6.0,1685,1,1,4,1.0,0,2.0,2.0,5.0,12601080,34,2014,0.0,1.0,0.0
26,1.0,1130,1,1,3,1.0,1,0.0,1.0,3.0,13383350,30,2011,1.0,0.0,0.0
27,0.0,1301,1,1,3,3.0,1,2.0,2.0,1.0,7939625,7,2010,0.0,0.0,1.0
28,1.0,730,1,1,2,4.0,1,0.0,2.0,4.0,8848285,39,2011,0.0,1.0,0.0
29,6.0,1806,2,1,5,1.0,0,1.0,1.0,3.0,11338200,35,2013,0.0,1.0,0.0
30,5.0,1981,2,1,5,4.0,0,0.0,0.0,4.0,12872430,9,2009,0.0,1.0,0.0
31,1.0,868,1,1,3,3.0,0,1.0,2.0,4.0,9042050,10,2011,0.0,0.0,1.0
32,6.0,1721,1,1,4,4.0,1,0.0,1.0,5.0,14874380,20,2012,0.0,0.0,1.0
33,3.0,1755,2,1,4,4.0,1,3.0,2.0,0.0,10222380,19,2006,0.0,0.0,1.0
34,5.0,1709,1,1,4,1.0,0,1.0,2.0,3.0,12928590,6,2009,0.0,0.0,1.0
35,4.0,2114,3,2,5,4.0,1,1.0,2.0,3.0,17564820,21,2010,1.0,0.0,0.0
36,0.0,1226,1,1,3,3.0,0,3.0,1.0,0.0,4971250,27,2010,0.0,1.0,0.0
37,3.0,1648,2,1,4,1.0,1,1.0,1.0,1.0,9170660,13,2011,0.0,0.0,1.0
38,2.0,856,1,1,3,4.0,1,2.0,2.0,5.0,10383420,26,2011,0.0,0.0,1.0
39,1.0,904,1,1,3,4.0,0,0.0,0.0,5.0,11601400,40,2009,1.0,0.0,0.0
40,2.0,1198,1,1,3,3.0,0,3.0,0.0,3.0,8249260,36,2012,0.0,0.0,1.0
41,0.0,931,1,1,3,4.0,0,3.0,1.0,0.0,6944500,18,2011,1.0,0.0,0.0
42,0.0,1290,1,1,3,4.0,1,3.0,1.0,3.0,7745000,48,2009,0.0,1.0,0.0
43,0.0,507,1,1,2,2.0,1,0.0,2.0,3.0,5728000,46,2010,0.0,1.0,0.0
44,4.0,2492,4,2,6,2.0,0,1.0,1.0,4.0,18725520,16,2009,1.0,0.0,0.0
45,0.0,851,1,1,2,0.0,0,3.0,0.0,1.0,3572250,29,2011,0.0,1.0,0.0
46,6.0,1882,2,1,5,2.0,1,0.0,2.0,5.0,16051580,21,2006,0.0,0.0,1.0
47,5.0,1710,1,1,4,3.0,1,3.0,2.0,3.0,20215970,11,2009,1.0,0.0,0.0
48,0.0,1412,2,2,4,4.0,0,0.0,2.0,4.0,8379000,28,2010,0.0,1.0,0.0
49,1.0,779,1,1,2,3.0,0,2.0,0.0,1.0,5290635,9,2006,0.0,1.0,0.0
50,6.0,1655,1,1,4,2.0,0,3.0,2.0,3.0,12548930,34,2014,0.0,0.0,1.0
51,0.0,940,1,1,3,4.0,0,3.0,1.0,3.0,5857750,49,2010,0.0,1.0,0.0
52,4.0,1667,2,1,4,0.0,1,1.0,1.0,5.0,10729700,5,2012,0.0,1.0,0.0
53,4.0,1926,3,2,5,1.0,1,1.0,1.0,5.0,17006780,9,2008,1.0,0.0,0.0
54,1.0,718,1,1,2,0.0,1,0.0,0.0,1.0,5570050,30,2007,0.0,0.0,1.0
55,0.0,545,1,1,2,0.0,0,0.0,0.0,3.0,3854375,31,2012,0.0,0.0,1.0
56,0.0,1249,1,1,3,4.0,1,0.0,2.0,3.0,8594875,36,2009,0.0,0.0,1.0
57,6.0,1894,2,1,5,0.0,1,2.0,2.0,4.0,13549250,45,2013,0.0,1.0,0.0
58,0.0,1469,2,2,4,2.0,0,2.0,0.0,1.0,9480750,5,2011,1.0,0.0,0.0
59,1.0,916,1,1,3,3.0,1,0.0,0.0,0.0,5847520,28,2008,0.0,1.0,0.0
60,2.0,934,1,1,3,4.0,1,1.0,1.0,5.0,9710900,22,2008,0.0,1.0,0.0
61,0.0,1691,2,2,4,2.0,0,1.0,2.0,5.0,9398750,30,2011,0.0,1.0,0.0
62,0.0,1236,1,1,3,3.0,0,2.0,1.0,2.0,8806250,39,2011,1.0,0.0,0.0
63,6.0,1577,1,1,4,0.0,1,1.0,1.0,3.0,12087330,36,2007,0.0,0.0,1.0
64,5.0,1915,2,1,5,0.0,1,1.0,2.0,3.0,14175620,42,2011,0.0,0.0,1.0
65,5.0,1600,1,1,4,1.0,1,0.0,2.0,3.0,11920820,21,2012,0.0,1.0,0.0
66,3.0,1579,2,1,4,2.0,1,0.0,1.0,2.0,13364730,24,2011,1.0,0.0,0.0
67,1.0,1260,2,2,4,0.0,0,1.0,0.0,0.0,6922975,25,2008,0.0,0.0,1.0
68,1.0,1021,1,1,3,3.0,0,1.0,1.0,2.0,11673175,5,2009,1.0,0.0,0.0
69,4.0,2174,3,2,5,1.0,1,3.0,1.0,5.0,13069740,23,2011,0.0,0.0,1.0
70,5.0,1589,1,1,4,0.0,0,3.0,2.0,4.0,12212350,44,2010,0.0,0.0,1.0
71,1.0,668,1,1,2,2.0,1,1.0,2.0,2.0,10283575,5,2010,1.0,0.0,0.0
72,3.0,1724,2,1,4,2.0,1,0.0,0.0,4.0,8956480,54,2006,0.0,1.0,0.0
73,1.0,890,1,1,3,2.0,1,2.0,1.0,1.0,7187350,30,2011,0.0,1.0,0.0
74,1.0,1218,2,2,4,3.0,0,3.0,0.0,2.0,12574850,30,2007,1.0,0.0,0.0
75,5.0,1792,1,1,4,1.0,1,0.0,2.0,5.0,13906270,21,2011,0.0,1.0,0.0
76,0.0,1378,2,2,4,4.0,0,2.0,2.0,5.0,9917500,9,2012,0.0,0.0,1.0
77,0.0,898,1,1,3,0.0,1,2.0,1.0,3.0,8629750,29,2009,1.0,0.0,0.0
78,5.0,1928,2,1,5,0.0,0,3.0,0.0,3.0,11667050,10,2011,0.0,1.0,0.0
79,2.0,1233,2,1,4,2.0,0,1.0,2.0,5.0,9817150,32,2008,0.0,1.0,0.0
