,AREA,INT_SQFT,N_BEDROOM,N_BATHROOM,N_ROOM,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,SALES_PRICE,SALE_COND
0,0,1004,1.0,1.0,3,1,2,3,1,0,7600000,2
1,5,1986,2.0,1.0,5,0,2,3,2,3,21717770,2
2,1,909,1.0,1.0,3,1,2,0,2,4,13159200,2
3,3,1855,3.0,2.0,5,0,1,2,1,2,9630290,1
4,0,1226,1.0,1.0,3,1,1,3,2,1,7406250,2
5,2,1220,2.0,1.0,4,0,2,1,0,3,12394750,0
6,2,1167,1.0,1.0,3,0,1,3,0,4,8488790,0
7,3,1847,3.0,2.0,5,0,2,3,2,5,16800250,1
8,2,771,1.0,1.0,2,0,1,2,1,5,8308970,4
9,3,1635,2.0,1.0,4,0,1,0,0,2,8083650,2
10,2,1203,2.0,1.0,4,1,2,3,0,5,14938000,4
11,2,1054,1.0,1.0,3,0,1,2,2,5,9449730,0
12,2,1196,1.0,1.0,3,0,1,2,0,4,8774370,1
13,1,1056,1.0,1.0,3,1,1,2,1,3,9386490,0
14,3,1865,3.0,2.0,5,0,2,2,1,5,15499680,1
15,3,1868,3.0,2.0,5,0,2,2,2,3,15714080,1
16,0,1639,2.0,2.0,4,1,0,0,2,2,8656000,3
17,2,796,1.0,1.0,2,1,2,3,0,4,10912550,4
18,1,1136,1.0,1.0,3,1,1,3,1,0,8287550,3
19,5,1902,2.0,1.0,5,1,2,0,1,4,21203240,1
20,2,1069,1.0,1.0,3,1,1,2,1,5,10905530,2
21,2,931,1.0,1.0,3,1,1,0,1,4,9185970,2
22,4,2010,3.0,2.0,5,0,1,2,2,3,10925400,0
23,2,1074,1.0,1.0,3,0,1,2,2,4,9627380,2
24,6,1972,2.0,1.0,5,0,1,2,0,3,13922760,4
25,6,1685,1.0,1.0,4,0,0,2,2,5,12601080,1
26,1,1130,1.0,1.0,3,1,2,0,1,3,13383350,1
27,0,1301,1.0,1.0,3,1,1,2,2,1,7939625,3
28,1,730,1.0,1.0,2,1,0,0,2,4,8848285,4
29,6,1806,2.0,1.0,5,0,0,1,1,3,11338200,1
30,5,1981,2.0,1.0,5,0,0,0,0,4,12872430,4
31,1,868,1.0,1.0,3,0,1,1,2,4,9042050,3
32,6,1721,1.0,1.0,4,1,1,0,1,5,14874380,4
33,3,1755,2.0,1.0,4,1,1,3,2,0,10222380,4
34,5,1709,1.0,1.0,4,0,1,1,2,3,12928590,1
35,4,2114,3.0,2.0,5,1,2,1,2,3,17564820,4
36,0,1226,1.0,1.0,3,0,0,3,1,0,4971250,3
37,3,1648,2.0,1.0,4,1,1,1,1,1,9170660,1
38,2,856,1.0,1.0,3,1,1,2,2,5,10383420,4
39,1,904,1.0,1.0,3,0,2,0,0,5,11601400,4
40,2,1198,1.0,1.0,3,0,1,3,0,3,8249260,3
41,0,931,1.0,1.0,3,0,2,3,1,0,6944500,4
42,0,1290,1.0,1.0,3,1,0,3,1,3,7745000,4
43,0,507,1.0,1.0,2,1,0,0,2,3,5728000,2
44,4,2492,4.0,2.0,6,0,2,1,1,4,18725520,2
45,0,851,1.0,1.0,2,0,0,3,0,1,3572250,0
46,6,1882,2.0,1.0,5,1,1,0,2,5,16051580,2
47,5,1710,1.0,1.0,4,1,2,3,2,3,20215970,3
48,0,1412,2.0,2.0,4,0,0,0,2,4,8379000,4
49,1,779,1.0,1.0,2,0,0,2,0,1,5290635,3
50,6,1655,1.0,1.0,4,0,1,3,2,3,12548930,2
51,0,940,1.0,1.0,3,0,0,3,1,3,5857750,4
52,4,1667,2.0,1.0,4,1,0,1,1,5,10729700,0
53,4,1926,3.0,2.0,5,1,2,1,1,5,17006780,1
54,1,718,1.0,1.0,2,1,1,0,0,1,5570050,0
55,0,545,1.0,1.0,2,0,1,0,0,3,3854375,0
56,0,1249,1.0,1.0,3,1,1,0,2,3,8594875,4
57,6,1894,2.0,1.0,5,1,0,2,2,4,13549250,0
58,0,1469,2.0,2.0,4,0,2,2,0,1,9480750,2
59,1,916,1.0,1.0,3,1,0,0,0,0,5847520,3
